Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20 13:30:00+00:00,273.3800048828125,247.1699981689453,337.6600036621094,676.0823974609375,95.52200317382812,274.2749938964844,250.13999938964844,339.1600036621094,683.3300170898438,97.5999984741211,270.3299865722656,246.75,335.4599914550781,672.0499877929688,95.5,270.3299865722656,249.3800048828125,338.94000244140625,681.4500122070312,97.1449966430664,9800654,9547325,3422391,3334997,13544324
2026-04-20 14:30:00+00:00,272.8800048828125,247.02000427246094,336.8800048828125,673.5700073242188,93.875,273.8500061035156,247.32000732421875,337.739990234375,676.7000122070312,95.71759796142578,271.7200012207031,245.36500549316406,334.6300048828125,668.0,93.6500015258789,273.389892578125,247.16000366210938,337.6460876464844,676.0150146484375,95.5250015258789,4154551,5448975,1699272,2160361,12614245
2026-04-20 15:30:00+00:00,272.57000732421875,246.77000427246094,336.5799865722656,672.8250122070312,93.86000061035156,272.9100036621094,247.0500030517578,337.1199951171875,674.719970703125,94.29000091552734,272.0799865722656,246.14010620117188,335.8800048828125,671.7999877929688,93.66999816894531,272.8299865722656,247.00999450683594,336.739990234375,673.3400268554688,93.87000274658203,2499488,3205410,777072,1400963,8632256
2026-04-20 16:30:00+00:00,272.19000244140625,247.61000061035156,336.2099914550781,672.6500244140625,94.67990112304688,273.135009765625,247.72000122070312,337.2300109863281,673.5999145507812,94.75,271.8399963378906,246.75999450683594,336.1600036621094,671.22998046875,93.54000091552734,272.5899963378906,246.77000427246094,336.5799865722656,672.9099731445312,93.86000061035156,2403500,2487380,1284875,660669,6979195
2026-04-20 17:30:00+00:00,273.45001220703125,247.80499267578125,336.2900085449219,672.64501953125,94.26000213623047,273.6400146484375,248.10000610351562,336.80999755859375,673.1400146484375,94.68000030517578,271.9800109863281,247.17999267578125,336.0199890136719,670.9149780273438,94.19999694824219,272.1700134277344,247.6002960205078,336.239990234375,672.7150268554688,94.67500305175781,2711593,2681049,643222,766075,4202375
2026-04-20 18:30:00+00:00,272.69000244140625,248.13999938964844,336.30999755859375,670.70751953125,94.80899810791016,273.4599914550781,248.5,336.7200012207031,672.9600219726562,94.87000274658203,272.6700134277344,247.6649932861328,336.1001892089844,669.7999877929688,94.19999694824219,273.4599914550781,247.80499267578125,336.30999755859375,672.739990234375,94.26499938964844,2176297,3096367,618996,842036,4962797
2026-04-20 19:30:00+00:00,272.92999267578125,248.2899932861328,335.4100036621094,670.9500122070312,94.80999755859375,273.1600036621094,248.64999389648438,336.4119873046875,672.1300048828125,95.0999984741211,272.2699890136719,247.39999389648438,334.87359619140625,669.4600219726562,94.66999816894531,272.6499938964844,248.16000366210938,336.30499267578125,670.75,94.80000305175781,3689439,4859780,1122731,1258552,6184971
2026-04-21 13:30:00+00:00,269.5801086425781,252.69000244140625,336.53509521484375,674.6754760742188,93.56500244140625,272.79998779296875,255.0,337.1700134277344,676.2000122070312,94.6500015258789,269.3699951171875,251.55999755859375,333.760009765625,667.75,93.45999908447266,271.44500732421875,254.72000122070312,335.5799865722656,670.8900146484375,93.82499694824219,8494357,12693800,2169053,1753065,13867530
