Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19 14:30:00+00:00,271.7349853515625,226.86000061035156,306.2300109863281,660.469970703125,94.47000122070312,272.9200134277344,227.6999053955078,307.6199951171875,667.77001953125,95.33000183105469,270.95001220703125,225.5814971923828,302.3399963378906,659.6199951171875,93.44999694824219,272.1449890136719,226.7519989013672,303.17999267578125,666.510009765625,93.56999969482422,18574766,15668410,7101352,4376390,12039854
2025-12-19 15:30:00+00:00,271.26080322265625,227.85679626464844,306.9200134277344,666.7100219726562,95.19000244140625,272.82000732421875,227.97999572753906,307.3999938964844,666.8499755859375,95.33499908447266,270.9949951171875,226.55059814453125,305.82000732421875,660.1300048828125,94.41500091552734,271.7200927734375,226.8699951171875,306.260009765625,660.4199829101562,94.45999908447266,2919546,2770667,1028338,1154474,2515029
2025-12-19 16:30:00+00:00,270.6549987792969,228.41000366210938,306.31500244140625,668.0700073242188,95.5250015258789,271.4599914550781,228.75,307.1199951171875,669.2000122070312,95.54000091552734,270.2699890136719,227.7100067138672,306.1000061035156,665.8900146484375,94.94999694824219,271.2622985839844,227.8614959716797,306.95001220703125,666.7100219726562,95.18150329589844,2629565,2745439,894313,1142637,2135125
2025-12-19 17:30:00+00:00,270.75,228.66900634765625,305.635009765625,667.5499877929688,94.98300170898438,271.80950927734375,229.1199951171875,306.6199951171875,669.0,95.52989959716797,270.3399963378906,228.25,305.4801025390625,667.0,94.94000244140625,270.6600036621094,228.41000366210938,306.3299865722656,668.0700073242188,95.5291976928711,3085614,2014663,851137,740624,1677328
2025-12-19 18:30:00+00:00,271.3699951171875,228.75990295410156,305.7550048828125,667.2050170898438,94.66500091552734,271.5098876953125,228.92999267578125,306.2099914550781,670.1599731445312,95.02999877929688,270.3999938964844,228.47999572753906,305.2049865722656,666.739990234375,94.61000061035156,270.760009765625,228.6708984375,305.6499938964844,667.5900268554688,94.9800033569336,2544938,2204226,1029426,1073124,2147594
2025-12-19 19:30:00+00:00,270.79998779296875,228.64999389648438,305.79998779296875,666.4118041992188,94.80999755859375,271.739990234375,228.99000549316406,306.04998779296875,667.5,94.84500122070312,270.17498779296875,228.0800018310547,305.3699951171875,664.1400146484375,94.54000091552734,271.3800048828125,228.75,305.739990234375,667.280029296875,94.66000366210938,3108119,1970169,881968,944060,2353423
2025-12-19 20:30:00+00:00,273.6700134277344,227.3699951171875,308.6000061035156,658.7899780273438,94.41000366210938,274.5762939453125,229.125,308.9800109863281,669.5399780273438,95.0,269.8999938964844,226.72999572753906,305.1400146484375,658.1799926757812,94.04000091552734,270.80999755859375,228.64999389648438,305.7699890136719,666.4000244140625,94.80999755859375,8193309,4780006,2788820,2420255,4106358
2025-12-22 14:30:00+00:00,272.0150146484375,227.82000732421875,308.7799987792969,663.77001953125,93.65499877929688,273.8800048828125,228.52000427246094,310.42999267578125,673.5800170898438,94.69999694824219,271.57000732421875,227.0500030517578,306.6000061035156,660.3099975585938,93.19000244140625,272.8599853515625,228.52000427246094,310.17999267578125,661.64501953125,94.6449966430664,6084655,5420237,3246828,2758463,9197693
